car_id,first_online_date,car_sold_on_date,manufacturer,model,fuel_type,buy_price,last_online_price,market_reference_price,is_sold,missing_buy_price,days_online,gross_margin_eur,profit_margin_pct,age_bucket
1284216187,18/12/2024,,Volkswagen,Golf VII Sportsvan,Benzin,10510,15142,14644,0,FALSE,317,4632,44.07,181-365
1281165211,01/11/2024,,Mercedes-Benz,A-Klasse,Benzin,9976,15910,14560,0,FALSE,364,5934,59.48,181-365
1280301585,23/11/2024,,Skoda,Yeti,Benzin,8678,13266,14444,0,FALSE,342,4588,52.87,181-365
1282618453,13/12/2024,,BMW,3er,Benzin,15831,18478,18816,0,FALSE,322,2647,16.72,181-365
1279774569,18/10/2024,,Opel,Astra,Benzin,12280,14566,15390,0,FALSE,378,2286,18.62,365+
1280669952,22/11/2024,,Opel,Insignia Grand Sport,Diesel,16664,21416,21599,0,FALSE,343,4752,28.52,181-365
1275631063,17/10/2024,12/12/2024,BMW,X5,Diesel,36887,40259,38828,1,FALSE,56,3372,9.14,31-60
1283174712,28/11/2024,08/01/2025,Volkswagen,Golf VII,Benzin,11018,15427,17137,1,FALSE,41,4409,40.02,31-60
1282646097,18/12/2024,,Ford,Kuga,Diesel,17951,23903,24580,0,FALSE,317,5952,33.16,181-365
1282767024,02/12/2024,,Skoda,Kodiaq,Diesel,30143,38118,,0,FALSE,333,7975,26.46,181-365
1279996897,23/10/2024,18/12/2024,Audi,A6,Diesel,28164,30282,31395,1,FALSE,56,2118,7.52,31-60
1280695200,22/10/2024,,Audi,A6,Benzin,14977,18228,17317,0,FALSE,374,3251,21.71,365+
1277732235,11/12/2024,,Volkswagen,Caddy,Diesel,21426,26869,27797,0,FALSE,324,5443,25.4,181-365
1281124954,08/11/2024,20/12/2024,Mercedes-Benz,C-Klasse,Diesel,18563,23391,23509,1,FALSE,42,4828,26.01,31-60
